MINISTERIO DE DEFENSA NACIONAL,,,,,,,,,,,,,
POLICÍA NACIONAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL,,,,,,,,,,,,,
SECUESTRO,,,,,,,,,,,,,
PERÍODO  DEL 01 DE ENERO AL 31 DE DICIEMBRE AÑOS 2010-2016,,,,,,,,,,,,,
DIVIPOLA,DEPARTAMENTO POLÍTICO,MUNICIPIO_HECHO,MES,GENERO,EDAD,CLASE_EMPLEADO,2010,2011,2012,2013,2014,2015,2016
05628,ANTIOQUIA,SABANALARGA,jul,FEMENINO,39,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05631,ANTIOQUIA,SABANETA,abr,MASCULINO,18,ESTUDIANTE,0,0,0,0,0,1,0
05631,ANTIOQUIA,SABANETA,ago,MASCULINO,44,COMERCIANTE,0,0,0,1,0,0,0
05631,ANTIOQUIA,SABANETA,ago,MASCULINO,45,COMERCIANTE,0,0,0,1,0,0,0
05631,ANTIOQUIA,SABANETA,nov,MASCULINO,51,COMERCIANTE,0,1,0,0,0,0,0
05656,ANTIOQUIA,SAN JERÓNIMO,jul,MASCULINO,25,EMPLEADO EJERCITO,0,1,0,0,0,0,0
05660,ANTIOQUIA,SAN LUIS,ene,FEMENINO,63,AMA DE CASA,1,0,0,0,0,0,0
05674,ANTIOQUIA,SAN VICENTE,may,FEMENINO,24,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05674,ANTIOQUIA,SAN VICENTE,may,MASCULINO,4,ESTUDIANTE,0,0,0,1,0,0,0
05674,ANTIOQUIA,SAN VICENTE,dic,FEMENINO,23,EMPLEADO PARTICULAR,1,0,0,0,0,0,0
05679,ANTIOQUIA,SANTA BÁRBARA,jun,MASCULINO,63,PENSIONADO,0,1,0,0,0,0,0
05686,ANTIOQUIA,SANTA ROSA DE OSOS,feb,MASCULINO,42,AGRICULTOR,0,0,0,1,0,0,0
05736,ANTIOQUIA,SEGOVIA,feb,MASCULINO,30,EMPLEADO EJERCITO,0,0,0,0,0,0,1
05736,ANTIOQUIA,SEGOVIA,mar,MASCULINO,13,ESTUDIANTE,1,0,0,0,0,0,0
05736,ANTIOQUIA,SEGOVIA,may,MASCULINO,23,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05736,ANTIOQUIA,SEGOVIA,may,MASCULINO,25,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05736,ANTIOQUIA,SEGOVIA,may,MASCULINO,27,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05736,ANTIOQUIA,SEGOVIA,may,MASCULINO,47,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05756,ANTIOQUIA,SONSON,jun,MASCULINO,31,AGRICULTOR,0,1,0,0,0,0,0
05756,ANTIOQUIA,SONSON,jun,MASCULINO,33,AGRICULTOR,0,1,0,0,0,0,0
05756,ANTIOQUIA,SONSON,sep,MASCULINO,53,COMERCIANTE,0,1,0,0,0,0,0
05761,ANTIOQUIA,SOPETRÁN,sep,MASCULINO,39,CANDIDATOS,0,1,0,0,0,0,0
05790,ANTIOQUIA,TARAZÁ,abr,FEMENINO,4,ESTUDIANTE,1,0,0,0,0,0,0
05819,ANTIOQUIA,TOLEDO,abr,MASCULINO,20,EMPLEADO EJERCITO,0,1,0,0,0,0,0
05819,ANTIOQUIA,TOLEDO,abr,MASCULINO,23,EMPLEADO EJERCITO,0,1,0,0,0,0,0
05837,ANTIOQUIA,TURBO,abr,FEMENINO,1,ESTUDIANTE,0,0,0,0,0,0,1
05854,ANTIOQUIA,VALDIVIA,sep,MASCULINO,24,AGRICULTOR,0,0,0,0,0,0,1
